================ Training Loss (Sat Jan 19 13:57:30 2019) ================
(epoch: 5, iters: 20, time: 1.319, data: 0.279) D_A: 0.281 G_A: 0.383 cycle_A: 4.173 idt_A: 1.073 D_B: 0.663 G_B: 0.832 cycle_B: 2.326 idt_B: 1.972 
(epoch: 10, iters: 20, time: 1.322, data: 0.298) D_A: 0.251 G_A: 0.338 cycle_A: 2.776 idt_A: 0.586 D_B: 0.205 G_B: 0.506 cycle_B: 1.214 idt_B: 1.206 
(epoch: 15, iters: 20, time: 1.318, data: 0.270) D_A: 0.165 G_A: 0.439 cycle_A: 1.497 idt_A: 0.673 D_B: 0.188 G_B: 0.415 cycle_B: 1.477 idt_B: 0.736 
(epoch: 20, iters: 20, time: 1.871, data: 0.273) D_A: 0.226 G_A: 0.469 cycle_A: 2.561 idt_A: 0.927 D_B: 0.183 G_B: 0.608 cycle_B: 1.846 idt_B: 1.107 
(epoch: 25, iters: 20, time: 1.319, data: 0.221) D_A: 0.189 G_A: 0.603 cycle_A: 2.797 idt_A: 0.925 D_B: 0.214 G_B: 0.860 cycle_B: 2.028 idt_B: 1.318 
(epoch: 30, iters: 20, time: 1.317, data: 0.222) D_A: 0.184 G_A: 0.395 cycle_A: 2.733 idt_A: 2.513 D_B: 0.280 G_B: 0.161 cycle_B: 5.707 idt_B: 1.264 
(epoch: 35, iters: 20, time: 1.322, data: 0.240) D_A: 0.096 G_A: 0.614 cycle_A: 1.596 idt_A: 0.700 D_B: 0.244 G_B: 0.647 cycle_B: 1.361 idt_B: 0.893 
(epoch: 40, iters: 20, time: 2.052, data: 0.199) D_A: 0.282 G_A: 0.498 cycle_A: 1.425 idt_A: 0.739 D_B: 0.136 G_B: 0.190 cycle_B: 1.579 idt_B: 0.981 
(epoch: 45, iters: 20, time: 1.318, data: 0.219) D_A: 0.272 G_A: 0.522 cycle_A: 3.034 idt_A: 1.686 D_B: 0.276 G_B: 0.443 cycle_B: 3.359 idt_B: 1.116 
(epoch: 50, iters: 20, time: 1.323, data: 0.205) D_A: 0.187 G_A: 0.354 cycle_A: 2.344 idt_A: 0.650 D_B: 0.231 G_B: 0.323 cycle_B: 1.991 idt_B: 1.082 
(epoch: 55, iters: 20, time: 1.321, data: 0.154) D_A: 0.170 G_A: 0.721 cycle_A: 1.044 idt_A: 0.923 D_B: 0.213 G_B: 0.591 cycle_B: 2.026 idt_B: 0.555 
(epoch: 60, iters: 20, time: 2.217, data: 0.179) D_A: 0.194 G_A: 0.611 cycle_A: 1.285 idt_A: 0.766 D_B: 0.155 G_B: 0.420 cycle_B: 1.711 idt_B: 0.573 
(epoch: 65, iters: 20, time: 1.315, data: 0.234) D_A: 0.319 G_A: 0.328 cycle_A: 1.568 idt_A: 0.942 D_B: 0.388 G_B: 0.191 cycle_B: 2.552 idt_B: 0.740 
(epoch: 70, iters: 20, time: 1.322, data: 0.245) D_A: 0.220 G_A: 0.381 cycle_A: 1.985 idt_A: 0.616 D_B: 0.096 G_B: 0.427 cycle_B: 1.676 idt_B: 1.231 
(epoch: 75, iters: 20, time: 1.317, data: 0.239) D_A: 0.124 G_A: 0.341 cycle_A: 1.884 idt_A: 0.717 D_B: 0.060 G_B: 0.292 cycle_B: 2.126 idt_B: 0.877 
(epoch: 80, iters: 20, time: 2.402, data: 0.229) D_A: 0.145 G_A: 0.798 cycle_A: 1.751 idt_A: 0.509 D_B: 0.193 G_B: 0.355 cycle_B: 1.017 idt_B: 0.880 
(epoch: 85, iters: 20, time: 1.319, data: 0.236) D_A: 0.160 G_A: 0.470 cycle_A: 1.512 idt_A: 0.512 D_B: 0.164 G_B: 0.322 cycle_B: 0.922 idt_B: 0.699 
(epoch: 90, iters: 20, time: 1.322, data: 0.224) D_A: 0.202 G_A: 0.511 cycle_A: 1.315 idt_A: 0.629 D_B: 0.271 G_B: 0.351 cycle_B: 1.408 idt_B: 0.557 
(epoch: 95, iters: 20, time: 1.325, data: 0.232) D_A: 0.116 G_A: 0.401 cycle_A: 1.374 idt_A: 0.449 D_B: 0.110 G_B: 0.149 cycle_B: 0.959 idt_B: 0.596 
(epoch: 100, iters: 20, time: 2.545, data: 0.256) D_A: 0.144 G_A: 0.948 cycle_A: 1.664 idt_A: 0.488 D_B: 0.161 G_B: 0.563 cycle_B: 1.154 idt_B: 0.781 
(epoch: 105, iters: 20, time: 1.322, data: 0.263) D_A: 0.139 G_A: 0.398 cycle_A: 1.647 idt_A: 0.601 D_B: 0.207 G_B: 0.783 cycle_B: 1.289 idt_B: 0.783 
(epoch: 110, iters: 20, time: 1.314, data: 0.212) D_A: 0.128 G_A: 0.613 cycle_A: 1.404 idt_A: 0.570 D_B: 0.175 G_B: 0.172 cycle_B: 1.266 idt_B: 0.669 
